Soil_Type,Temperature_C,Rainfall_mm,Humidity_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,pH,Crop_History,Recommended_Crop
Clay,30.9,110.0,66.7,61.8,43.5,22.2,7.28,Soybean,Cotton
Loamy,11.9,76.7,61.3,60.7,33.9,15.0,6.76,Potato,Mustard
Sandy Loam,23.5,63.0,34.2,34.3,49.0,23.3,6.28,Cotton,Mustard
Sandy Loam,16.8,68.9,29.7,126.0,44.6,27.1,6.31,Lentil,Wheat
Black,28.5,52.3,51.7,47.3,17.1,14.1,6.26,Soybean,Cotton
Clay,26.3,138.6,52.5,54.9,33.7,27.2,6.89,Wheat,Cotton
Clay,29.5,180.6,83.6,88.1,63.4,36.7,5.42,Sugarcane,Rice
Sandy Loam,20.7,54.0,48.6,46.8,38.0,20.0,7.33,Maize,Lentil
Clay,16.5,52.8,31.2,85.7,42.1,33.6,6.75,Lentil,Wheat
Silty,35.2,135.3,91.1,82.5,48.6,80.2,5.83,Wheat,Sugarcane
Sandy Loam,22.8,107.9,67.8,69.7,57.2,54.5,5.31,Soybean,Potato
Loamy,37.5,191.1,60.0,34.0,27.6,39.6,6.21,Rice,Mango
Loamy,30.8,158.3,59.3,100.0,52.2,27.1,5.73,Soybean,Maize
Sandy Loam,30.1,142.2,64.2,125.9,58.9,51.0,7.38,Rice,Maize
Loamy,22.0,53.2,76.0,79.9,61.1,56.1,5.75,Rice,Tomato
Loamy,20.4,34.6,44.5,32.3,54.7,41.3,7.03,Soybean,Lentil
Sandy Loam,26.0,86.2,55.5,69.5,69.7,59.0,5.45,Cotton,Tomato
Loamy,17.4,76.8,41.6,85.5,68.8,34.9,6.87,Lentil,Wheat
Clay,25.7,214.6,95.4,80.5,59.8,54.8,5.98,Sugarcane,Rice
Clay,24.9,280.5,72.9,92.0,54.3,44.6,5.86,Wheat,Rice
Silty,28.9,85.9,76.6,64.5,59.1,56.4,6.85,Soybean,Tomato
Clay,26.3,122.1,80.5,28.1,52.4,30.1,6.71,Rice,Soybean
Loamy,21.5,125.7,70.9,57.2,56.5,42.8,6.24,Cotton,Potato
Loamy,29.4,112.4,79.9,56.6,43.4,19.8,7.14,Mustard,Soybean
Sandy Loam,28.8,101.4,77.5,29.0,53.9,48.1,6.79,Maize,Soybean
Loamy,23.9,164.9,75.9,87.6,53.9,72.1,6.63,Lentil,Sugarcane
Clay,26.8,182.5,81.0,91.6,29.3,34.4,6.7,Lentil,Rice
Sandy Loam,23.9,109.5,78.3,33.5,38.8,48.5,7.02,Tomato,Soybean
Sandy Loam,13.6,60.0,31.5,56.8,36.4,28.2,6.02,Sugarcane,Mustard
Sandy Loam,20.7,70.5,77.7,134.0,49.0,39.2,7.44,Cotton,Maize
Loamy,15.6,45.1,49.3,48.6,48.9,38.0,7.61,Maize,Lentil
Clay,29.3,69.8,72.1,55.3,34.0,36.5,7.17,Sugarcane,Soybean
Loamy,21.8,141.4,85.2,154.3,53.8,43.8,5.91,Mustard,Sugarcane
Clay,29.5,60.4,64.6,61.8,56.2,22.2,6.47,Rice,Soybean
Sandy Loam,23.5,92.8,36.3,16.7,47.6,29.7,6.75,Soybean,Lentil
Sandy Loam,23.3,80.1,53.7,22.6,53.6,22.6,5.85,Lentil,Groundnut
