InvoiceDate,Sales,Quantity
2010-12-01,58960.79,27007
2010-12-02,47748.38,31348
2010-12-03,46943.71,16471
2010-12-04,0.0,0
2010-12-05,31774.95,16451
2010-12-06,54830.46,21951
2010-12-07,99618.2,25365
2010-12-08,45389.98,23125
2010-12-09,53586.18,20730
2010-12-10,59182.92,21155
2010-12-11,0.0,0
2010-12-12,17329.07,10603
2010-12-13,38006.71,17727
2010-12-14,45254.73,20767
2010-12-15,30444.62,18493
2010-12-16,49352.9,29947
2010-12-17,45418.33,16959
2010-12-18,0.0,0
2010-12-19,7534.91,3799
2010-12-20,26789.13,15793
2010-12-21,47304.09,15658
2010-12-22,6199.97,3213
2010-12-23,12076.11,5754
2010-12-24,0.0,0
2010-12-25,0.0,0
2010-12-26,0.0,0
2010-12-27,0.0,0
2010-12-28,0.0,0
2010-12-29,0.0,0
2010-12-30,0.0,0
2010-12-31,0.0,0
2011-01-01,0.0,0
2011-01-02,0.0,0
2011-01-03,0.0,0
2011-01-04,16026.08,8678
2011-01-05,32634.47,19806
2011-01-06,40382.85,23178
2011-01-07,28836.59,17160
2011-01-08,0.0,0
2011-01-09,15778.2,8202
2011-01-10,24569.07,13091
2011-01-11,68655.59,29458
2011-01-12,24693.78,10623
2011-01-13,20624.64,10175
2011-01-14,47576.9,23149
2011-01-15,0.0,0
2011-01-16,7242.06,4204
2011-01-17,29333.02,13397
2011-01-18,95978.05,82978
2011-01-19,25934.57,17387
2011-01-20,21246.99,10497
2011-01-21,32640.3,15305
2011-01-22,0.0,0
2011-01-23,10400.25,5241
2011-01-24,25733.79,12029
2011-01-25,29077.47,15614
2011-01-26,19922.29,10976
2011-01-27,23730.84,11577
2011-01-28,20090.65,18145
2011-01-29,0.0,0
2011-01-30,6615.75,3431
2011-01-31,23640.36,13415
2011-02-01,29034.99,15851
2011-02-02,21216.2,9732
2011-02-03,23479.83,16999
2011-02-04,25162.19,14077
2011-02-05,0.0,0
2011-02-06,3457.11,2048
2011-02-07,25955.01,9143
2011-02-08,20949.92,10254
2011-02-09,16692.58,7165
2011-02-10,14896.46,11909
2011-02-11,22873.1,10549
2011-02-12,0.0,0
2011-02-13,5713.63,2756
2011-02-14,26703.51,13595
2011-02-15,39875.74,22720
2011-02-16,24949.1,16156
2011-02-17,26372.67,14548
2011-02-18,16208.75,9246
2011-02-19,0.0,0
2011-02-20,9624.69,5353
2011-02-21,36388.75,21589
2011-02-22,32498.35,21902
2011-02-23,26891.6,13767
2011-02-24,22809.84,11896
2011-02-25,20595.74,10573
2011-02-26,0.0,0
2011-02-27,9526.5,4870
2011-02-28,21755.63,9997
2011-03-01,26354.96,12145
2011-03-02,18690.79,8617
2011-03-03,36404.0,20163
2011-03-04,19506.8,13779
2011-03-05,0.0,0
2011-03-06,10005.37,5049
2011-03-07,32356.55,14064
2011-03-08,25081.62,14571
2011-03-09,22038.84,15182
2011-03-10,26120.22,16515
2011-03-11,25475.18,10870
2011-03-12,0.0,0
2011-03-13,4148.12,2749
2011-03-14,26019.55,16765
